year,week,hour,branch,value
2025,42,129,35,-3366.3459753231755
2025,42,130,35,-2973.2593591514033
2025,42,131,35,598.2889776559105
2025,42,132,35,837.4654178426387
2025,42,133,35,784.3649978967529
2025,42,134,35,1139.8837202843538
2025,42,135,35,1384.7601474946277
2025,42,136,35,-3990.542872810849
2025,42,137,35,-5000.0
2025,42,138,35,-4866.442185285745
2025,42,139,35,-4936.084908637382
2025,42,140,35,-5000.0
2025,42,141,35,-5000.0
2025,42,142,35,-5000.0
2025,42,143,35,-5000.0
2025,42,144,35,-5000.0
2025,42,145,35,-5000.0
2025,42,146,35,-5000.0
2025,42,147,35,-5000.0
2025,42,148,35,-5000.0
2025,42,149,35,-5000.0
2025,42,150,35,-5000.0
2025,42,151,35,-5000.0
2025,42,152,35,-5000.0
2025,42,153,35,-4525.452515090261
2025,42,154,35,-1353.8052987636502
2025,42,155,35,6.345345623726189
2025,42,156,35,1675.5328797420989
2025,42,157,35,1223.888361159223
2025,42,158,35,946.5748012910235
2025,42,159,35,-1974.8675367448332
2025,42,160,35,-5000.0
2025,42,161,35,-5000.0
2025,42,162,35,-5000.0
2025,42,163,35,-5000.0
2025,42,164,35,-5000.0
2025,42,165,35,-5000.0
2025,42,166,35,-5000.0
2025,42,167,35,-5000.0
2035,21,0,35,-9483.923235063012
2035,21,1,35,-9418.839158607578
2035,21,2,35,-9374.046007939061
2035,21,3,35,-9396.047337518754
2035,21,4,35,-9652.219042579982
2035,21,5,35,-9268.140952307915
2035,21,6,35,-8329.35418638015
2035,21,7,35,-7630.34274672798
2035,21,8,35,-8327.794771157467
2035,21,9,35,-9090.575270654264
2035,21,10,35,-7679.891201386395
2035,21,11,35,-8448.799327079443
2035,21,12,35,-8318.622105982153
2035,21,13,35,-8746.143868044908
2035,21,14,35,-9898.950094358179
2035,21,15,35,-10000.0
2035,21,16,35,-10000.0
2035,21,17,35,-10000.0
2035,21,18,35,-10000.0
2035,21,19,35,-10000.0
2035,21,20,35,-10000.0
2035,21,21,35,-10000.0
2035,21,22,35,-10000.0
2035,21,23,35,-10000.0
2035,21,24,35,-10000.0
2035,21,25,35,-10000.0
2035,21,26,35,-10000.0
2035,21,27,35,-10000.0
2035,21,28,35,-10000.0
2035,21,29,35,-10000.0
2035,21,30,35,-10000.0
2035,21,31,35,-10000.0
2035,21,32,35,-10000.0
