scenario,year,week,hour,branch,value
mean,2025,32,140,96,4348.388305154731
mean,2025,32,141,96,4557.744831421614
mean,2025,32,142,96,4497.287460759637
mean,2025,32,143,96,4806.598048923071
mean,2025,32,144,96,4879.934747109466
mean,2025,32,145,96,4718.18667892982
mean,2025,32,146,96,4258.978980243287
mean,2025,32,147,96,3851.9390470721696
mean,2025,32,148,96,3872.4153945846574
mean,2025,32,149,96,3976.609246957685
mean,2025,32,150,96,3608.3083013768223
mean,2025,32,151,96,4435.990860396226
mean,2025,32,152,96,1610.1170443387814
mean,2025,32,153,96,2437.077600123102
mean,2025,32,154,96,3046.684767428092
mean,2025,32,155,96,2901.7048344371083
mean,2025,32,156,96,2677.49300170583
mean,2025,32,157,96,2597.385535884614
mean,2025,32,158,96,2631.2410841680125
mean,2025,32,159,96,1820.369766571579
mean,2025,32,160,96,1107.4929802843267
mean,2025,32,161,96,3398.2731954199603
mean,2025,32,162,96,3170.1657875481014
mean,2025,32,163,96,3541.8850987035917
mean,2025,32,164,96,3649.2134073553416
mean,2025,32,165,96,3594.581586061215
mean,2025,32,166,96,3400.6299399531845
mean,2025,32,167,96,3806.4575458227423
mean,2025,37,0,96,4071.1195452916286
mean,2025,37,1,96,4034.34779240478
mean,2025,37,2,96,3990.6815397927603
mean,2025,37,3,96,3765.8167406514112
mean,2025,37,4,96,4178.642695679162
mean,2025,37,5,96,4394.8295921670715
mean,2025,37,6,96,4564.401681723242
mean,2025,37,7,96,4249.4733474860495
mean,2025,37,8,96,3710.5928832325426
mean,2025,37,9,96,4608.665851131373
mean,2025,37,10,96,4459.678517092202
mean,2025,37,11,96,3052.225072654054
mean,2025,37,12,96,2648.3543556776012
mean,2025,37,13,96,2527.5478783179547
mean,2025,37,14,96,2573.770484147848
mean,2025,37,15,96,4444.938085243011
mean,2025,37,16,96,3219.437948321819
mean,2025,37,17,96,3058.885375072348
mean,2025,37,18,96,4591.870686926796
mean,2025,37,19,96,4679.2544373314295
mean,2025,37,20,96,3861.113986427248
mean,2025,37,21,96,3175.3947922448465
mean,2025,37,22,96,3994.1896259183463
mean,2025,37,23,96,4233.939953272349
mean,2025,37,24,96,4217.949429222446
mean,2025,37,25,96,4179.703542893567
mean,2025,37,26,96,4177.419201085855
mean,2025,37,27,96,4208.789263288966
mean,2025,37,28,96,4364.289043536077
mean,2025,37,29,96,4609.7711501753365
mean,2025,37,30,96,4776.677828326717
mean,2025,37,31,96,4427.17609339919
mean,2025,37,32,96,3951.669196375921
mean,2025,37,33,96,1995.066188280315
mean,2025,37,34,96,1113.5616612865656
mean,2025,37,35,96,1676.5070986623773
mean,2025,37,36,96,2424.289415866214
mean,2025,37,37,96,2625.129635031648
mean,2025,37,38,96,2492.2930147440084
mean,2025,37,39,96,1799.7016496666247
mean,2025,37,40,96,2690.677225607915
mean,2025,37,41,96,5205.909311066287
mean,2025,37,42,96,4931.583364920746
mean,2025,37,43,96,6159.902190496231
mean,2025,37,44,96,6331.175672624952
mean,2025,37,45,96,4564.841502532796
mean,2025,37,46,96,4678.5029694644645
mean,2025,37,47,96,4399.8292176654995
mean,2025,37,48,96,4734.5675385481045
mean,2025,37,49,96,4602.194366513135
mean,2025,37,50,96,4253.402315099297
mean,2025,37,51,96,3700.1057914276485
mean,2025,37,52,96,3846.9030603214087
mean,2025,37,53,96,5468.633438924158
mean,2025,37,54,96,5258.34634736899
mean,2025,37,55,96,5294.7991386486665
mean,2025,37,56,96,2993.3869535258787
mean,2025,37,57,96,2410.443721713405
mean,2025,37,58,96,2536.8087575326263
mean,2025,37,59,96,2954.796993062491
mean,2025,37,60,96,3317.386065518031
mean,2025,37,61,96,3292.7164788445925
mean,2025,37,62,96,2817.984046764307
mean,2025,37,63,96,3268.3707839565022
mean,2025,37,64,96,3049.176197002496
mean,2025,37,65,96,3977.2939530779527
mean,2025,37,66,96,4882.2268919750395
mean,2025,37,67,96,5275.779179691724
mean,2025,37,68,96,4578.01446339679
mean,2025,37,69,96,3013.456745327988
mean,2025,37,70,96,3808.0688595494444
mean,2025,37,71,96,2617.246916474878
mean,2025,37,72,96,2501.3415093340573
mean,2025,37,73,96,2869.3989103317135
mean,2025,37,74,96,3135.899103393253
mean,2025,37,75,96,3294.5079612573863
mean,2025,37,76,96,4476.546150925653
mean,2025,37,77,96,3468.1492537014256
mean,2025,37,78,96,3013.213131962725
mean,2025,37,79,96,3648.7513984102206
mean,2025,37,80,96,3239.000109139486
mean,2025,37,81,96,2442.834919432949
mean,2025,37,82,96,2313.8647551337826
mean,2025,37,83,96,2436.573847284327
mean,2025,37,84,96,2841.4973629508486
mean,2025,37,85,96,2618.8500474420284
mean,2025,37,86,96,2309.070275292183
mean,2025,37,87,96,3120.2132753900632
mean,2025,37,88,96,4759.273923293732
mean,2025,37,89,96,4290.328464637378
mean,2025,37,90,96,4803.573363887195
mean,2025,37,91,96,4869.746464231644
mean,2025,37,92,96,4528.91226082938
mean,2025,37,93,96,5242.156276941509
mean,2025,37,94,96,4196.604070444424
mean,2025,37,95,96,4249.974669428886
mean,2025,37,96,96,4069.4278984726807
mean,2025,37,97,96,4070.6859552654196
mean,2025,37,98,96,4101.308139626448
mean,2025,37,99,96,4133.510107719481
mean,2025,37,100,96,4319.135571506506
mean,2025,37,101,96,4619.546474523782
mean,2025,37,102,96,4797.413285248756
mean,2025,37,103,96,4454.584009967652
mean,2025,37,104,96,3280.6949427679046
mean,2025,37,105,96,3964.794785227787
mean,2025,37,106,96,2052.4711934039774
mean,2025,37,107,96,989.74465030603
mean,2025,37,108,96,1371.832060523795
mean,2025,37,109,96,1254.663147813415
mean,2025,37,110,96,3112.7722624950547
mean,2025,37,111,96,3570.1512874560867
mean,2025,37,112,96,3648.734551481277
mean,2025,37,113,96,4434.6302545309745
mean,2025,37,114,96,4686.777302760189
mean,2025,37,115,96,4580.737279813051
mean,2025,37,116,96,4322.584447781969
mean,2025,37,117,96,4225.133228106052
mean,2025,37,118,96,4335.108876119743
mean,2025,37,119,96,4235.338974712864
mean,2025,37,120,96,4137.628532894285
mean,2025,37,121,96,4071.9620298716313
mean,2025,37,122,96,4054.33114102348
mean,2025,37,123,96,4047.2318291809
mean,2025,37,124,96,4088.12086245618
mean,2025,37,125,96,4168.5696528284025
mean,2025,37,126,96,4247.458767516488
mean,2025,37,127,96,4008.9845058887818
mean,2025,37,128,96,3561.1599134004164
mean,2025,37,129,96,4410.022177361901
mean,2025,37,130,96,2207.5898819655063
mean,2025,37,131,96,2315.222133209949
mean,2025,37,132,96,2521.289265605524
mean,2025,37,133,96,2564.8148534112033
mean,2025,37,134,96,2063.286372758572
mean,2025,37,135,96,1734.080492688147
mean,2025,37,136,96,3184.914155822596
mean,2025,37,137,96,3505.1698951773487
mean,2025,37,138,96,2484.5764985821625
mean,2025,37,139,96,2317.1595380506906
mean,2025,37,140,96,3299.105264282597
mean,2025,37,141,96,4396.768362576252
mean,2025,37,142,96,4202.708095261427
mean,2025,37,143,96,6574.2793489277
mean,2025,37,144,96,6542.753375289506
mean,2025,37,145,96,6428.072844010276
mean,2025,37,146,96,6339.185063821066
mean,2025,37,147,96,6191.606647822552
mean,2025,37,148,96,6155.184730068692
mean,2025,37,149,96,6184.604963223129
mean,2025,37,150,96,6176.077272254711
mean,2025,37,151,96,5490.130781770843
mean,2025,37,152,96,4395.7952034984655
mean,2025,37,153,96,3526.9668274848805
mean,2025,37,154,96,3063.856151516856
mean,2025,37,155,96,2872.6115575115573
mean,2025,37,156,96,2881.962708690314
mean,2025,37,157,96,3008.630189502005
mean,2025,37,158,96,3410.376468733822
mean,2025,37,159,96,4004.843575366875
mean,2025,37,160,96,4258.461339426829
mean,2025,37,161,96,4964.250390582155
mean,2025,37,162,96,4185.037506013076
mean,2025,37,163,96,4566.840783666365
mean,2025,37,164,96,4548.908621936204
mean,2025,37,165,96,4348.053510949347
mean,2025,37,166,96,4209.472254977601
mean,2025,37,167,96,4043.921621675633
mean,2025,42,0,96,3733.9872700582396
mean,2025,42,1,96,3748.845739013975
mean,2025,42,2,96,3775.638363042824
mean,2025,42,3,96,3872.542953933187
mean,2025,42,4,96,4120.609903609613
mean,2025,42,5,96,4488.354657583499
mean,2025,42,6,96,4701.68895210387
mean,2025,42,7,96,4484.174614894738
mean,2025,42,8,96,3750.5241472925422
mean,2025,42,9,96,3302.6256978738043
mean,2025,42,10,96,3490.837107677296
mean,2025,42,11,96,4008.2157969415566
mean,2025,42,12,96,4252.218002361848
mean,2025,42,13,96,4721.367898049883
mean,2025,42,14,96,3993.9449136814515
mean,2025,42,15,96,3862.0804429974755
mean,2025,42,16,96,4268.8071980272325
mean,2025,42,17,96,4749.270769490663
mean,2025,42,18,96,4886.921797555844
mean,2025,42,19,96,4795.173166740499
mean,2025,42,20,96,4515.523505463136
mean,2025,42,21,96,3901.7949940626995
mean,2025,42,22,96,3443.780015302421
mean,2025,42,23,96,4022.0517560137177
mean,2025,42,24,96,3943.772499267261
mean,2025,42,25,96,2790.308026441886
mean,2025,42,26,96,2094.2373876686543
mean,2025,42,27,96,1823.9889940664555
mean,2025,42,28,96,2617.7189885516077
mean,2025,42,29,96,3894.9539295521417
mean,2025,42,30,96,3965.3047099159458
mean,2025,42,31,96,4688.797979537957
mean,2025,42,32,96,4881.542407073194
mean,2025,42,33,96,1978.0930767586494
mean,2025,42,34,96,1841.907952021133
mean,2025,42,35,96,1616.718527402002
mean,2025,42,36,96,1030.477400783499
mean,2025,42,37,96,1180.8526653672966
mean,2025,42,38,96,1147.8722446812064
mean,2025,42,39,96,4187.686259961412
mean,2025,42,40,96,3682.1760372905396
mean,2025,42,41,96,3714.6626967781763
mean,2025,42,42,96,3789.9422022377616
mean,2025,42,43,96,3369.6265326529574
mean,2025,42,44,96,4711.7447283586735
mean,2025,42,45,96,3483.935036834747
mean,2025,42,46,96,2660.7980578516976
mean,2025,42,47,96,3246.6934236784514
mean,2025,42,48,96,3364.0921238156234
mean,2025,42,49,96,3469.4640784227117
mean,2025,42,50,96,3425.9703728695745
mean,2025,42,51,96,3222.320638546341
mean,2025,42,52,96,2371.819873105276
mean,2025,42,53,96,4906.582057473352
mean,2025,42,54,96,4309.969629685615
mean,2025,42,55,96,4839.648648454125
mean,2025,42,56,96,4852.050730886319
mean,2025,42,57,96,4011.736734883194
mean,2025,42,58,96,3919.581808843644
mean,2025,42,59,96,3682.272489208618
mean,2025,42,60,96,3257.4187683840278
mean,2025,42,61,96,3344.5798017573557
mean,2025,42,62,96,3881.467762443877
mean,2025,42,63,96,2853.44067976889
mean,2025,42,64,96,3487.9211415724026
mean,2025,42,65,96,4125.669792960045
mean,2025,42,66,96,4228.906866860893
mean,2025,42,67,96,4098.818720375472
mean,2025,42,68,96,3884.8209531523466
mean,2025,42,69,96,3835.2558100271604
mean,2025,42,70,96,3922.1043173282737
mean,2025,42,71,96,3931.9620514354583
mean,2025,42,72,96,3983.916862044871
mean,2025,42,73,96,4029.8011888558035
mean,2025,42,74,96,4043.599259772454
mean,2025,42,75,96,4093.6645778721186
mean,2025,42,76,96,4294.644876245334
mean,2025,42,77,96,4630.050261566999
mean,2025,42,78,96,4776.966575732971
mean,2025,42,79,96,4471.675015434386
mean,2025,42,80,96,3669.033965772541
mean,2025,42,81,96,3212.800002978141
mean,2025,42,82,96,2837.675078024716
mean,2025,42,83,96,3592.469263813162
mean,2025,42,84,96,3442.724550645804
mean,2025,42,85,96,3720.4276777445157
mean,2025,42,86,96,3043.711548593487
mean,2025,42,87,96,3632.0354356991093
mean,2025,42,88,96,4190.11798156032
mean,2025,42,89,96,4632.199205988908
mean,2025,42,90,96,4690.845907587523
mean,2025,42,91,96,4599.9371001195095
mean,2025,42,92,96,4438.973801870134
mean,2025,42,93,96,4223.657169295806
mean,2025,42,94,96,4138.417697033946
mean,2025,42,95,96,4038.985615294042
mean,2025,42,96,96,3983.116388065833
mean,2025,42,97,96,3980.431180722004
mean,2025,42,98,96,4019.2399358153666
mean,2025,42,99,96,4101.364029141154
mean,2025,42,100,96,4302.170371044683
mean,2025,42,101,96,4102.543112093924
mean,2025,42,102,96,4130.226400553601
mean,2025,42,103,96,3505.563397431447
mean,2025,42,104,96,1261.329370256759
mean,2025,42,105,96,590.1295949554083
mean,2025,42,106,96,1056.8257928137737
mean,2025,42,107,96,1747.5521037358762
mean,2025,42,108,96,1528.1020865958044
mean,2025,42,109,96,2075.132946801592
mean,2025,42,110,96,1349.8887755474466
mean,2025,42,111,96,254.23955938792233
mean,2025,42,112,96,-864.4111465728878
mean,2025,42,113,96,3428.973145761062
mean,2025,42,114,96,3268.715909952784
mean,2025,42,115,96,3475.564514636307
mean,2025,42,116,96,4060.130044083664
mean,2025,42,117,96,4055.812954009947
mean,2025,42,118,96,-519.8239357187199
mean,2025,42,119,96,-32.43100031196036
mean,2025,42,120,96,564.6944636613202
mean,2025,42,121,96,1191.8172940690206
mean,2025,42,122,96,1806.6848530965806
mean,2025,42,123,96,3141.1494140894197
mean,2025,42,124,96,4773.261949009482
mean,2025,42,125,96,4457.313121849894
mean,2025,42,126,96,4204.183481337395
mean,2025,42,127,96,4026.548914301614
mean,2025,42,128,96,3867.934684509968
mean,2025,42,129,96,567.3244972180206
mean,2025,42,130,96,233.1026600536111
mean,2025,42,131,96,1122.3783474877537
mean,2025,42,132,96,1526.342187331029
mean,2025,42,133,96,1576.0540084717304
mean,2025,42,134,96,1240.390250502047
mean,2025,42,135,96,625.7405987847519
mean,2025,42,136,96,2796.4750465714164
mean,2025,42,137,96,2407.3900104211543
mean,2025,42,138,96,3455.381256616319
mean,2025,42,139,96,3583.7263165281393
mean,2025,42,140,96,4300.95017538258
mean,2025,42,141,96,3907.347836888126
mean,2025,42,142,96,2263.9066957007894
mean,2025,42,143,96,2064.491071442701
mean,2025,42,144,96,2110.138432695753
mean,2025,42,145,96,2224.2056475494023
mean,2025,42,146,96,2212.517664668747
mean,2025,42,147,96,2060.9583262648407
mean,2025,42,148,96,2920.4983812628893
mean,2025,42,149,96,3889.024665314232
mean,2025,42,150,96,4221.980928410251
mean,2025,42,151,96,3818.787669048411
mean,2025,42,152,96,2125.8385181423178
mean,2025,42,153,96,1300.5476232335268
mean,2025,42,154,96,2275.415172846154
mean,2025,42,155,96,2432.967622194211
mean,2025,42,156,96,2710.573831738747
mean,2025,42,157,96,2793.2702768404442
mean,2025,42,158,96,2450.1336705893364
mean,2025,42,159,96,1483.181919723409
mean,2025,42,160,96,1251.5801154604696
mean,2025,42,161,96,3242.6729618735753
mean,2025,42,162,96,2137.3986141698874
mean,2025,42,163,96,1843.694605063592
mean,2025,42,164,96,2371.274126336902
mean,2025,42,165,96,2957.157586555141
mean,2025,42,166,96,651.3837150894034
mean,2025,42,167,96,1164.3259489499546
mean,2025,52,0,96,3313.408215053737
mean,2025,52,1,96,3925.5749569748923
mean,2025,52,2,96,3797.2298669899824
mean,2025,52,3,96,3161.7566417307353
mean,2025,52,4,96,2753.215682805514
mean,2025,52,5,96,3230.400358898246
mean,2025,52,6,96,3337.7757537961947
mean,2025,52,7,96,2916.375884475731
mean,2025,52,8,96,3463.1380885841963
mean,2025,52,9,96,1576.9527170804863
mean,2025,52,10,96,-1437.506721248385
mean,2025,52,11,96,-657.4955968287163
mean,2025,52,12,96,-226.4949375330607
mean,2025,52,13,96,99.16319124075335
mean,2025,52,14,96,-273.02462736351754
mean,2025,52,15,96,-1372.839582616124
mean,2025,52,16,96,1922.9090138980755
mean,2025,52,17,96,3896.06009522074
mean,2025,52,18,96,3790.877899276066
mean,2025,52,19,96,2079.37878435968
mean,2025,52,20,96,-56.707600261800636
mean,2025,52,21,96,-420.7719773322124
mean,2025,52,22,96,672.8735753843685
mean,2025,52,23,96,1913.7471944994768
mean,2025,52,24,96,2877.395688155527
mean,2025,52,25,96,3556.524254852734
mean,2025,52,26,96,2298.8601343292517
mean,2025,52,27,96,1264.613398916094
mean,2025,52,28,96,693.4140376112692
mean,2025,52,29,96,-56.01317969754283
mean,2025,52,30,96,-51.39818537387152
mean,2025,52,31,96,249.73762242267355
mean,2025,52,32,96,248.2439732400163
mean,2025,52,33,96,-2165.825225620705
mean,2025,52,34,96,-3264.3054049766815
mean,2025,52,35,96,-3265.6804954607064
mean,2025,52,36,96,-3034.582227601665
mean,2025,52,37,96,-2636.6341257750178
mean,2025,52,38,96,-2460.948985132354
mean,2025,52,39,96,-2612.9871398692485
mean,2025,52,40,96,-3196.9820271569924
mean,2025,52,41,96,-3803.227135888359
mean,2025,52,42,96,-3684.557244900793
mean,2025,52,43,96,-3080.4043447378144
mean,2025,52,44,96,-2345.459429876069
mean,2025,52,45,96,-1504.916244326059
mean,2025,52,46,96,-1302.0761388123842
mean,2025,52,47,96,-1031.2729119488654
mean,2025,52,48,96,-531.9220036399477
mean,2025,52,49,96,90.22051698377891
mean,2025,52,50,96,632.1165649633917
mean,2025,52,51,96,725.9189414993737
mean,2025,52,52,96,774.6491018433873
mean,2025,52,53,96,627.7541646494523
mean,2025,52,54,96,595.9046538528098
mean,2025,52,55,96,580.7927275132365
mean,2025,52,56,96,708.397594358142
mean,2025,52,57,96,668.8357180159874
mean,2025,52,58,96,-83.75744843994994
mean,2025,52,59,96,-280.18892138345404
