year,week,hour,branch,bound,dual_value
2035,21,152,35,max,0.0
2035,21,153,35,min,0.0
2035,21,153,35,max,0.0
2035,21,154,35,min,0.0
2035,21,154,35,max,0.0
2035,21,155,35,min,0.0
2035,21,155,35,max,0.0
2035,21,156,35,min,0.0
2035,21,156,35,max,0.0
2035,21,157,35,min,0.0
2035,21,157,35,max,0.0
2035,21,158,35,min,0.0
2035,21,158,35,max,0.0
2035,21,159,35,min,0.0
2035,21,159,35,max,0.0
2035,21,160,35,min,0.0
2035,21,160,35,max,0.0
2035,21,161,35,min,-0.0
2035,21,161,35,max,0.0
2035,21,162,35,min,3.0132170032398213
2035,21,162,35,max,0.0
2035,21,163,35,min,3.0132170032398213
2035,21,163,35,max,0.0
2035,21,164,35,min,3.0132170032398213
2035,21,164,35,max,0.0
2035,21,165,35,min,3.0132170032398213
2035,21,165,35,max,0.0
2035,21,166,35,min,3.0132170032398213
2035,21,166,35,max,0.0
2035,21,167,35,min,3.0132170032398213
2035,21,167,35,max,0.0
2035,42,0,35,min,-0.0
2035,42,0,35,max,0.0
2035,42,1,35,min,-0.0
2035,42,1,35,max,0.0
2035,42,2,35,min,0.0
2035,42,2,35,max,0.0
2035,42,3,35,min,-0.0
2035,42,3,35,max,0.0
2035,42,4,35,min,-0.0
2035,42,4,35,max,0.0
2035,42,5,35,min,0.0
2035,42,5,35,max,0.0
2035,42,6,35,min,0.0
2035,42,6,35,max,0.0
2035,42,7,35,min,0.0
2035,42,7,35,max,0.0
2035,42,8,35,min,0.0
2035,42,8,35,max,0.0
2035,42,9,35,min,0.0
2035,42,9,35,max,0.0
2035,42,10,35,min,0.0
2035,42,10,35,max,0.0
2035,42,11,35,min,0.0
2035,42,11,35,max,0.0
2035,42,12,35,min,0.0
2035,42,12,35,max,0.0
2035,42,13,35,min,0.0
2035,42,13,35,max,0.0
2035,42,14,35,min,0.0
2035,42,14,35,max,0.0
2035,42,15,35,min,0.0
2035,42,15,35,max,0.0
2035,42,16,35,min,0.0
2035,42,16,35,max,0.0
2035,42,17,35,min,0.0
2035,42,17,35,max,0.0
2035,42,18,35,min,0.0
2035,42,18,35,max,0.0
2035,42,19,35,min,0.0
2035,42,19,35,max,0.0
2035,42,20,35,min,0.0
2035,42,20,35,max,0.0
2035,42,21,35,min,0.0
2035,42,21,35,max,0.0
2035,42,22,35,min,-0.0
2035,42,22,35,max,0.0
2035,42,23,35,min,-0.0
2035,42,23,35,max,0.0
2035,42,24,35,min,-0.0
2035,42,24,35,max,0.0
2035,42,25,35,min,-0.0
2035,42,25,35,max,0.0
2035,42,26,35,min,-0.0
2035,42,26,35,max,0.0
2035,42,27,35,min,-0.0
2035,42,27,35,max,0.0
2035,42,28,35,min,2.3378062786788276
2035,42,28,35,max,0.0
2035,42,29,35,min,3.0132170032398213
2035,42,29,35,max,0.0
2035,42,30,35,min,-0.0
2035,42,30,35,max,0.0
2035,42,31,35,min,0.0
2035,42,31,35,max,0.0
2035,42,32,35,min,0.0
2035,42,32,35,max,0.0
2035,42,33,35,min,0.0
2035,42,33,35,max,0.0
2035,42,34,35,min,0.0
2035,42,34,35,max,0.0
2035,42,35,35,min,0.0
2035,42,35,35,max,0.0
2035,42,36,35,min,0.0
2035,42,36,35,max,0.0
2035,42,37,35,min,0.0
2035,42,37,35,max,0.0
2035,42,38,35,min,0.0
2035,42,38,35,max,0.0
2035,42,39,35,min,0.0
2035,42,39,35,max,0.0
2035,42,40,35,min,0.0
2035,42,40,35,max,0.0
2035,42,41,35,min,0.0
2035,42,41,35,max,0.0
2035,42,42,35,min,0.0
2035,42,42,35,max,0.0
2035,42,43,35,min,0.0
2035,42,43,35,max,0.0
2035,42,44,35,min,-0.0
2035,42,44,35,max,0.0
2035,42,45,35,min,0.0
2035,42,45,35,max,0.0
2035,42,46,35,min,0.0
2035,42,46,35,max,0.0
2035,42,47,35,min,0.0
2035,42,47,35,max,0.0
2035,42,48,35,min,0.0
2035,42,48,35,max,0.0
2035,42,49,35,min,0.0
2035,42,49,35,max,0.0
2035,42,50,35,min,0.0
2035,42,50,35,max,0.0
2035,42,51,35,min,0.0
2035,42,51,35,max,0.0
2035,42,52,35,min,0.0
2035,42,52,35,max,0.0
2035,42,53,35,min,-0.0
2035,42,53,35,max,0.0
2035,42,54,35,min,-0.0
2035,42,54,35,max,0.0
2035,42,55,35,min,0.0
2035,42,55,35,max,0.0
2035,42,56,35,min,-0.0
2035,42,56,35,max,0.0
2035,42,57,35,min,0.0
2035,42,57,35,max,0.0
2035,42,58,35,min,0.0
2035,42,58,35,max,0.0
2035,42,59,35,min,-0.0
2035,42,59,35,max,0.0
2035,42,60,35,min,0.0
2035,42,60,35,max,0.0
2035,42,61,35,min,0.0
2035,42,61,35,max,0.0
2035,42,62,35,min,0.0
2035,42,62,35,max,0.0
2035,42,63,35,min,0.0
2035,42,63,35,max,0.0
2035,42,64,35,min,0.0
2035,42,64,35,max,0.0
2035,42,65,35,min,0.0
2035,42,65,35,max,0.0
2035,42,66,35,min,0.0
2035,42,66,35,max,0.0
2035,42,67,35,min,0.0
2035,42,67,35,max,0.0
2035,42,68,35,min,0.0
2035,42,68,35,max,0.0
