generator,bus,carrier,p_nom,marginal_cost,capital_cost,co2_emissions,color,nice_name
BE1 2 solar,BE1 2,solar,1612.7186428087755,0.01,35602.07124380445,0.0,#f9d002,Solar
BG1 0 CCGT,BG1 0,CCGT,83.0,38.85517241379311,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
BG1 0 coal,BG1 0,coal,160.41703044199232,28.196969696969695,349976.5536298572,0.34,#707070,Coal
BG1 0 lignite,BG1 0,lignite,1455.136725502029,12.287878787878787,349976.5536298572,0.41,#9e5a01,Lignite
BG1 0 nuclear,BG1 0,nuclear,2080.0,11.378787878787879,706772.616768959,0.0,#ff9000,Nuclear
BG1 0 offwind-ac,BG1 0,offwind-ac,1437.8925052404597,0.015,190786.83282440202,0.0,#6895dd,Offshore Wind (AC)
BG1 0 offwind-dc,BG1 0,offwind-dc,0.0,0.015,199397.80474462968,0.0,#74c6f2,Offshore Wind (DC)
BG1 0 onwind,BG1 0,onwind,703.12,0.015000000000000001,96085.8880199663,0.0,#235ebc,Onshore Wind
BG1 0 ror,BG1 0,ror,22.4,0.0,299140.2249292296,0.0,#4adbc8,Run of River
BG1 0 solar,BG1 0,solar,1072.9500000000003,0.01,35602.07124380445,0.0,#f9d002,Solar
CH1 0 CCGT,CH1 0,CCGT,55.0,38.85517241379311,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
CH1 0 biomass,CH1 0,biomass,85.9662,14.893617021276594,278083.06535604474,0.0,#0c6013,Biomass
CH1 0 nuclear,CH1 0,nuclear,3348.0,11.37878787878788,706772.616768959,0.0,#ff9000,Nuclear
CH1 0 onwind,CH1 0,onwind,87.90905515836411,0.014999999999999998,96085.88801996628,0.0,#235ebc,Onshore Wind
CH1 0 ror,CH1 0,ror,4604.799999999999,0.0,299140.2249292296,0.0,#4adbc8,Run of River
CH1 0 solar,CH1 0,solar,2954.8361862127576,0.01,35602.07124380445,0.0,#f9d002,Solar
CZ1 0 CCGT,CZ1 0,CCGT,179.9,38.85517241379311,99027.72929315244,0.2,#b20101,Combined-Cycle Gas
CZ1 0 biomass,CZ1 0,biomass,435.67,14.893617021276597,278083.06535604456,0.0,#0c6013,Biomass
CZ1 0 coal,CZ1 0,coal,603.8687065488792,28.196969696969695,349976.5536298572,0.34,#707070,Coal
CZ1 0 lignite,CZ1 0,lignite,250.82204647436748,12.287878787878787,349976.5536298572,0.41,#9e5a01,Lignite
CZ1 0 nuclear,CZ1 0,nuclear,2040.0,11.378787878787879,706772.616768959,0.0,#ff9000,Nuclear
