generator,week,value
ES1 0 solar,26,11681.579273038667
ES1 0 solar,27,11681.579273038667
ES1 0 solar,28,11681.579273038666
ES1 0 solar,29,11681.579273038666
ES1 0 solar,30,11681.579273038667
ES1 0 solar,31,11681.579273038666
ES1 0 solar,32,11681.579273038666
ES1 0 solar,33,11681.579273038667
ES1 0 solar,34,11681.579273038667
ES1 0 solar,35,11681.579273038667
ES1 0 solar,36,11681.579273038666
ES1 0 solar,37,11681.579273038667
ES1 0 solar,38,11681.579273038667
ES1 0 solar,39,11681.57927303867
ES1 0 solar,40,11681.579273038666
ES1 0 solar,41,11681.579273038667
ES1 0 solar,42,11681.579273038667
ES1 0 solar,43,11681.57927303867
ES1 0 solar,44,11681.579273038667
ES1 0 solar,45,11681.579273038666
ES1 0 solar,46,11681.57927303867
ES1 0 solar,47,11681.579273038667
ES1 0 solar,48,11681.579273038667
ES1 0 solar,49,11681.579273038666
ES1 0 solar,50,11681.57927303867
ES1 0 solar,51,11681.579273038666
ES1 0 solar,52,11681.57927303867
ES1 0 solar,53,11681.579273038667
PT1 0 CCGT,1,4145.0
PT1 0 CCGT,2,4145.0
PT1 0 CCGT,3,4145.0
PT1 0 CCGT,4,4145.0
PT1 0 CCGT,5,4145.0
PT1 0 CCGT,6,4145.0
PT1 0 CCGT,7,4145.0
PT1 0 CCGT,8,4145.0
PT1 0 CCGT,9,4145.0
PT1 0 CCGT,10,4145.0
PT1 0 CCGT,11,4145.0
PT1 0 CCGT,12,4145.0
PT1 0 CCGT,13,4145.0
PT1 0 CCGT,14,4145.0
PT1 0 CCGT,15,4145.0
PT1 0 CCGT,16,4145.0
PT1 0 CCGT,17,4145.0
PT1 0 CCGT,18,4145.0
PT1 0 CCGT,19,4145.0
PT1 0 CCGT,20,4145.0
PT1 0 CCGT,21,4145.0
PT1 0 CCGT,22,4145.0
PT1 0 CCGT,23,4145.0
PT1 0 CCGT,24,4145.0
PT1 0 CCGT,25,4145.0
PT1 0 CCGT,26,4145.0
PT1 0 CCGT,27,4145.0
PT1 0 CCGT,28,4145.0
PT1 0 CCGT,29,4145.0
PT1 0 CCGT,30,4145.0
PT1 0 CCGT,31,4145.0
PT1 0 CCGT,32,4145.0
PT1 0 CCGT,33,4145.0
PT1 0 CCGT,34,4145.0
PT1 0 CCGT,35,4145.0
PT1 0 CCGT,36,4145.0
PT1 0 CCGT,37,4145.0
PT1 0 CCGT,38,4145.0
PT1 0 CCGT,39,4145.0
PT1 0 CCGT,40,4145.0
PT1 0 CCGT,41,4145.0
PT1 0 CCGT,42,4145.0
PT1 0 CCGT,43,4145.0
PT1 0 CCGT,44,4145.0
PT1 0 CCGT,45,4145.0
PT1 0 CCGT,46,4145.0
PT1 0 CCGT,47,4145.0
PT1 0 CCGT,48,4145.0
PT1 0 CCGT,49,4145.0
PT1 0 CCGT,50,4145.0
PT1 0 CCGT,51,4145.0
PT1 0 CCGT,52,4145.0
PT1 0 CCGT,53,4145.0
PT1 0 offwind-ac,1,4460.18873614281
PT1 0 offwind-ac,2,0.0
PT1 0 offwind-ac,3,0.0
PT1 0 offwind-ac,4,4460.18873614281
PT1 0 offwind-ac,5,0.0
PT1 0 offwind-ac,6,4460.188736142809
PT1 0 offwind-ac,7,0.0
PT1 0 offwind-ac,8,0.0
PT1 0 offwind-ac,9,4460.188736142811
PT1 0 offwind-ac,10,4460.18873614281
PT1 0 offwind-ac,11,0.0
PT1 0 offwind-ac,12,4460.18873614281
PT1 0 offwind-ac,13,4460.188736142809
PT1 0 offwind-ac,14,4460.18873614281
PT1 0 offwind-ac,15,4460.18873614281
PT1 0 offwind-ac,16,4460.18873614281
PT1 0 offwind-ac,17,4460.18873614281
PT1 0 offwind-ac,18,4460.18873614281
PT1 0 offwind-ac,19,0.0
PT1 0 offwind-ac,20,4460.18873614281
PT1 0 offwind-ac,21,4460.18873614281
PT1 0 offwind-ac,22,4460.188736142811
PT1 0 offwind-ac,23,4460.18873614281
PT1 0 offwind-ac,24,4460.18873614281
PT1 0 offwind-ac,25,4460.18873614281
PT1 0 offwind-ac,26,4460.18873614281
PT1 0 offwind-ac,27,4460.18873614281
PT1 0 offwind-ac,28,4460.18873614281
PT1 0 offwind-ac,29,4460.188736142809
PT1 0 offwind-ac,30,4460.18873614281
PT1 0 offwind-ac,31,4460.188736142811
PT1 0 offwind-ac,32,4460.18873614281
PT1 0 offwind-ac,33,4460.18873614281
PT1 0 offwind-ac,34,1735.011350616046
PT1 0 offwind-ac,35,4460.18873614281
PT1 0 offwind-ac,36,4460.188736142811
PT1 0 offwind-ac,37,4460.188736142809
PT1 0 offwind-ac,38,4460.18873614281
PT1 0 offwind-ac,39,684.0048061460983
PT1 0 offwind-ac,40,0.0
PT1 0 offwind-ac,41,4460.18873614281
PT1 0 offwind-ac,42,4460.18873614281
PT1 0 offwind-ac,43,4460.188736142811
PT1 0 offwind-ac,44,4460.18873614281
PT1 0 offwind-ac,45,3598.8409877709196
